Precio,Distrito,Tipo,Habitaciones,Aseos,Superficie,Planta,Parking,URL
135000,Ciudad Lineal,Piso,3,1,68,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-trastero/158617307/d
180000,Ciudad Lineal,Piso,3,1,83,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-trastero-ascensor-patio/157819558/d
147000,Ciudad Lineal,Piso,2,1,57,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion/159065839/d
129000,Ciudad Lineal,Piso,2,1,58,5,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/156893217/d
165000,Centro,Piso,3,1,65,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/158982144/d
1545000,Chamartín,Piso,4,4,222,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/159331055/d
1950000,Arganzuela,Piso,4,5,251,3,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-internet/158403234/d
379000,Fuencarral,Piso,3,2,84,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-ascensor/159068716/d
985000,Moncloa,Casa adosada,7,6,259,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-parking-jardin-terraza-piscina/149181300/d
2850000,Salamanca,Piso,4,5,263,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-no-amueblado/158870460/d
180000,Tetuán,Piso,1,1,56,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-amueblado/158061109/d
114800,Puente de Vallecas,Piso,3,1,67,2,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza/158407911/d
160000,Arganzuela,Piso,3,1,53,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza-zona-comunitaria-patio/159038678/d
1390000,Chamartín,Casa o chalet,5,5,240,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-jardin-terraza-television-se-aceptan-mascotas/158756927/d
189000,Salamanca,Apartamento,1,1,40,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/157289198/d
760000,Centro,Piso,5,4,269,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-zona-comunitaria-ascensor/157879470/d
130000,Centro,Piso,1,1,32,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/158084681/d
547000,Centro,Piso,3,2,91,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-ascensor/155720910/d
360000,San Blas,Piso,2,1,70,1,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor-no-amueblado/159235279/d
385000,Vicálvaro,Piso,3,2,122,1,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-zona-comunitaria-ascensor-piscina-parking-piscina-no-amueblado/157512784/d
167500,Vicálvaro,Piso,3,1,66,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/158645138/d
105000,Moncloa,Piso,3,1,60,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza/156016561/d
